city,house_type,adjusted_occupancy_rate,adj_airbnb_yroi,rent_yroi,roi_ratio,house_price,annual_airbnb_rent,adj_airbnb_new,annual_rent,service_cost,service_cost_new,local_annual_taxes,price_per_night,buy_eur_m2,rent_eur_m2,house_size,number_airbnb_house,airbnb_yroi_original
Racalmuto,1BR_1BT,0.28565095660289314,0.1535148154839026,0.07833333333333334,1.959763601922161,26316,7066.4,4587.554363042464,2456.16,2141.1191999999996,152.9184787680821,394.74,44,612,4.76,43,4,0.17215917312661502
Mascali,1BR_2.5BT,0.3431404573028465,0.08271983966582844,0.10070032573289904,0.8214456017276185,69382,8993.6,7013.790947270182,8027.52,2725.0608,233.79303157567273,1040.73,56,1228,11.84,56.5,1,0.07534820558646334
Castellammare del Golfo,6BR_4BT,0.3974568362109193,0.17753630349096514,0.04201657458563537,4.225387367766559,302270,66649,60204.774265049,17234.4,20194.647,2006.8258088349667,4534.05,415,1810,8.6,167,2,0.13868496046580872
Pietraperzia,2BR_2BT,0.27827811479234715,0.16776868699909983,0.10545028142589116,1.5909742935774438,45305,13543.933333333332,8565.864170166433,5456.999999999999,4103.8117999999995,285.52880567221445,679.5749999999999,84.33333333333333,533,5.35,85,3,0.1933682051282051
Favara,2BR_1BT,0.2723985067662156,0.18218878227267118,0.061085106382978725,2.9825401486644183,35720,11769.685714285715,7286.465485634291,2717.7599999999998,3566.2147714285716,242.88218285447638,535.8,73.28571428571429,470,2.98,76,7,0.21466044072948332
Chiaramonte Gulfi,4BR_4.5BT,0.29143723751749884,0.6351782004043195,0.09111275964391691,6.971341916178332,94023,95476.7,63239.69476201587,9977.039999999999,28929.4401,2107.989825400529,1410.345,594.5,674,5.96,139.5,2,0.6927763940737905
Villafranca Tirrena,2BR_1.5BT,0.31439570695286984,0.13478299388316353,0.19030434782608696,0.7082496822738773,74060,16060,11475.44330377975,15204.84,4866.18,382.5147767926583,1110.8999999999999,100,920,15.74,80.5,1,0.1361452876046449
Palazzolo Acreide,1BR_1.5BT,0.2975968268782081,0.30388967523470617,0.08764864864864866,3.467134746741945,35150,17144.05,11595.488363275781,3608.1000000000004,5194.64715,386.51627877585935,527.25,106.75,740,6.33,47.5,4,0.3249545618776671
Leni,4BR_3BT,0.48303779748016795,0.04204175518261161,0.019939493949394944,2.1084665081927696,343602,18469,20275.51154923005,12005.28,5596.107,675.850384974335,5154.03,115,2727,7.94,126,1,0.022464546190068744
Ragalna,3BR_2BT,0.31822211852543164,0.08911126378025243,0.0790270551508845,1.127604509748141,97061,14454,10453.596593560429,9126.36,4379.562,348.45321978534764,1455.915,90,961,7.53,101,2,0.08879491247772021
Terrasini,2BR_1.5BT,0.374778348110126,0.1072998749802134,0.05445756222080408,1.9703392991620603,126143.5,18736.666666666668,15959.311323689533,8761.619999999999,5677.21,531.9770441229845,1892.1525,116.66666666666667,1567,9.07,80.5,3,0.08852857393893993
Noto,7BR_6BT,0.38831077928138125,0.16138147194529545,0.06462616822429905,2.4971536512142616,344112,71145.8,62787.91145590294,27400.319999999996,21557.1774,2092.930381863431,5161.679999999999,443,1712,11.36,201,1,0.12910605442414097
Buccheri,1BR_1.5BT,0.2698786747550163,0.2565139144380989,0.13100451467268623,1.958054003550923,21042.5,9636,5910.342977134857,3072.2999999999997,2919.708,197.01143257116192,315.6375,60,443,5.39,47.5,1,0.3041774741594392
Milo,2BR_1.5BT,0.31112925804946334,0.358665543806946,0.0618813559322034,5.796019469901345,71242.5,38945.5,27538.828453103124,5477.22,11800.486499999999,917.9609484367708,1068.6375,242.5,885,5.67,80.5,2,0.3660227532722743
Ragusa,1BR_1BT,0.3169155389640691,0.2476328645173455,0.08535902851108765,2.9010740730862397,40721,15360.307303370788,11063.454699321546,4086.7200000000003,4654.173112921349,368.7818233107182,610.8149999999999,95.6432584269663,947,7.92,43,356,0.24791432406987646
Carini,6BR_3.5BT,0.3435137657489501,0.05764921499405868,0.05113636363636364,1.1273624265504807,200200,19272,15045.902939804015,13240.5,5839.416,501.53009799346717,3003,120,1232,6.79,162.5,1,0.052095824175824174
Siracusa,3BR_1BT,0.34435370975268315,0.11943623767651067,0.07221998388396453,1.6537837763631773,114172,20288.36857142857,15878.124960002666,9958.079999999998,6147.375677142857,529.2708320000888,1712.58,126.32857142857142,1241,9.02,92,70,0.10885692546583851
Trappeto,3BR_2BT,0.3198086794213719,0.2836432305229744,0.06315950920245399,4.490903018479342,98778,41985.42857142857,30516.60105992934,7720.4400000000005,12721.584857142858,1017.220035330978,1481.6699999999998,261.42857142857144,978,6.37,101,21,0.2812587186851902
Custonaci,3BR_3.5BT,0.3520065328978068,0.6109851659481567,0.09094104308390022,6.718475456505102,151483.5,122618.1,98096.30057162856,16048.32,37153.2843,3269.8766857209516,2272.2525,763.5,1323,11.68,114.5,2,0.5491856420006139
Vita,1BR_1.5BT,0.26819878674755016,0.5006280823108524,0.1990235294117647,2.515421587540489,20187.5,17666,10768.181287914138,4320.6,5352.798,358.9393762638046,302.8125,110,425,7.58,47.5,1,0.5949418947368421
Modica,3BR_4BT,0.3198086794213719,0.44069251536244264,0.05420245398773007,8.130490096669853,116382,75482,54863.17895473635,8053.92,22871.046,1828.772631824545,1745.73,470,978,5.64,119,4,0.4370540461583406
Valderice,3BR_4.5BT,0.322515165655623,0.6904686171017016,0.053401191658391266,12.929835377432143,124364.5,123822.6,90760.60534297714,8506.68,37518.2478,3025.3535114325714,1865.4675,771,1007,5.74,123.5,1,0.6789629251112658
Gioiosa Marea,5BR_3BT,0.3468735417638824,0.19707417121081905,0.057681388012618295,3.4165989758725535,180056,50107.2,39501.95893607093,13086.72,15182.4816,1316.7319645356977,2700.8399999999997,312,1268,7.68,142,1,0.17896586839649886
Ficarazzi,3BR_1BT,0.32372841810545966,0.10976314074621511,0.04582352941176471,2.3953445348981472,93840,16461.5,12111.48944237051,5707.68,4987.8345,403.7163147456837,1407.6,102.5,1020,5.17,92,4,0.10726838768115941
Augusta,4BR_1.5BT,0.31616892207186187,0.14129043030468577,0.06666134185303514,2.119525745764038,105637.5,23768.8,17079.44517032198,8626.5,7201.9464,569.3148390107326,1584.5625,148,939,6.39,112.5,1,0.1418273917879541
